ep_cluster_ID,list_endpoint,longitude,latitude,list_sp_cluster_ID
36,"['P000026428', 'P000014475', 'PS10001629', 'P000005367', 'P000001432', 'P000003383', 'P000047051', 'P000002768', 'P000021159', 'P000002491', 'P000027509', 'P000025824', 'P000000807', 'P000029855', 'P000005746', 'P000037993', 'P000014453', 'P000016081']",119.9647037,36.33282166,"['796', '11708', '881', '1622', '11706', '500', '11705', '2050', '745', '1884', '8527']"
37,['P000026435'],120.3551795,36.27837137,['236']
38,['P000026476'],118.4861999,35.23759857,['898']
39,['P000026578'],120.8680341,37.39654466,['1191']
40,['P000026594'],119.3295276,36.45596566,['1461']
41,"['P000026613', 'P000029450']",119.5090191,35.53358694,['254']
42,"['P000026614', 'P000028150']",118.4254981,35.02978065,['1497']
43,['P000026638'],116.3933665,37.48540556,['2033']
44,['P000026644'],119.4670809,35.35028403,['988']
45,['P000026678'],119.3495418,35.18816181,['1841']
46,['P000026679'],119.9331009,35.90493757,['1486']
47,['P000026805'],119.7948245,35.70840468,['58']
48,['P000026813'],119.7386969,36.4174622,['1521']
49,['P000026831'],119.6779985,37.05301744,['1854']
50,"['P000026874', 'P000029439']",120.2657099,36.35871796,['1536']
51,['P000026900'],118.4719839,35.5964596,['1644']
52,['P000026928'],118.4699368,34.9504203,['229']
53,['P000026929'],119.5023905,35.50335355,['383']
54,"['P000026939', 'P000028714']",119.3170183,35.15064888,['7']
55,"['P000027026', 'P000027853', 'P000028971']",120.3517629,36.2901202,"['349', '158']"
56,['P000027050'],119.9880678,36.21643449,['1572']
57,['P000027092'],118.53705,35.43531109,['1578']
58,['P000027117'],118.810388,35.15904588,['1005']
59,"['P000027169', 'P000028288', 'P000029122', 'P000045512', 'P000025733', 'P000030033', 'P000022718', 'P000023315', 'P000007125', 'P000009149']",119.3090582,35.17749809,"['1438', '10505', '1471', '1588', '1439']"
60,['P000027297'],116.7511772,35.57962324,['1600']
61,"['P000027321', 'P000029734']",121.2184412,37.47022832,['1604']
62,['P000027437'],118.7172255,35.13061831,['858']
63,['P000027549'],115.9957037,35.5752178,['1779']
64,['P000027582'],120.1456121,35.9961743,['1074']
65,['P000027805'],118.548605,37.04490338,['1820']
66,"['P000027915', 'P000014334', 'P000045423', 'P000014525', 'P000022712', 'P000018422', 'P000020085', 'P000014268', 'P000020393', 'P000045595', 'P000025619', 'P000045534', 'P000029279', 'P000029785', 'P000036326', 'P000037207']",119.509995,35.55122052,"['953', '86', '5186', '10840']"
67,"['P000027932', 'P000030525']",119.3939111,36.10487767,['134']
68,"['P000028064', 'P000028331']",119.3965721,35.42762647,['127']
69,['P000028075'],120.0492223,36.03443691,['1278']
70,"['P000028083', 'P000030718']",118.4444021,35.38861615,['1974']
71,['P000028091'],119.9284137,36.25707114,['716']
72,"['P000028097', 'P000030023']",120.329032,36.26870987,['233']
73,['P000028123'],119.2931847,35.17968188,['259']
74,"['P000028148', 'P000029905']",116.1484128,36.35875,['1871']
75,['P000028255'],119.9764517,36.02783328,['1007']
76,['P000028313'],120.0154392,36.20489545,['1692']
77,"['P000028498', 'P000030682', 'P000026853', 'P000002251', 'P000016731', 'P000020883', 'P000047275']",119.9521438,36.28153864,"['5574', '1558', '9838', '1557', '5594', '537', '11910', '13725', '13723', '5292', '13726', '459']"
78,['P000028598'],116.8113421,35.32003581,['1702']
79,['P000028874'],120.0806822,36.09408453,['138']
80,['P000028936'],120.2069832,36.25824466,['1252']
81,['P000028954'],117.0626169,36.0798558,['572']
82,"['P000029192', 'P000029812']",119.4494229,35.36255685,['16']
83,"['P000029264', 'P000022870', 'P000014437', 'P000022479', 'P000022304', 'P000010080', 'P000026894', 'P000034483', 'P000036660', 'P000020971']",121.2966138,37.46324564,"['5171', '8784', '5170', '6791', '5169', '6790', '2040', '210']"
84,['P000029312'],118.4683797,34.9584866,['268']
85,['P000029319'],119.0569157,35.16495041,['1069']
86,['P000029349'],118.4298351,35.12694576,['503']
87,['P000029379'],119.999482,35.90297585,['261']
88,['P000029470'],118.8372067,35.6304167,['1399']
89,['P000029616'],119.2781272,35.16458979,['770']
90,['P000029707'],119.7060374,37.05002367,['1842']
91,"['P000029729', 'P000030537']",118.2617462,37.0481192,"['1915', '1956']"
92,"['P000029737', 'P000030417']",118.2496504,37.05923928,['436']
93,"['P000029772', 'P000017340', 'P000016603']",120.083818,36.15242839,"['1796', '851']"
94,['P000030099'],117.0786276,36.07562963,['474']
95,['P000030106'],117.0589643,36.07196037,['365']
96,['P000030167'],119.3768251,35.97251512,['1720']
97,['P000030169'],118.2649177,37.06764929,['1017']
98,['P000030239'],120.3389177,36.3023444,['1684']
99,['P000030272'],120.6663854,36.94995235,['1921']
100,['P000030305'],118.2371319,35.76816798,['1506']
101,['P000030376'],118.1740549,36.83841856,['382']
102,['P000030466'],117.0703649,36.07843719,['66']
103,['P000030562'],120.1654553,36.04714798,['398']
104,['P000030589'],119.4226385,35.38443347,['1554']
105,"['P000019036', 'P000018840', 'P000029066', 'P000037001']",119.6601258,35.627768,"['902', '903', '7915', '2057']"
106,"['P000029074', 'P000016986', 'P000019258']",118.4682778,35.59312193,"['10149', '1040', '1746', '10140', '1745', '1210', '10125']"
107,"['P000010024', 'P000007964', 'P000010588', 'P000029554', 'P000014285', 'P000029960', 'P000024750', 'P000007077']",118.4718913,34.97482097,"['523', '522']"
108,['P000006468'],119.3671646,35.10231067,"['1474', '6469', '67', '938', '8', '2754', '6443']"
109,"['P000020706', 'P000015720', 'P000015120', 'P000030179']",117.2075018,36.73468343,"['1175', '1195']"
110,"['P000019549', 'P000029217', 'P000034050']",120.1462038,36.06726122,"['55', '3539', '3615', '1763']"
111,"['P000014262', 'P000035670', 'P000036258', 'P000024683']",118.6061668,35.23816723,"['966', '839']"
112,"['P000019420', 'P000027080', 'P000036290']",120.2830373,36.36309212,"['8860', '8844', '8802', '8796', '8875', '8876', '8868', '8809', '767', '833', '8867', '8873', '8869', '8823', '8800', '8872', '8815', '8825', '8827', '8870', '8814', '8797']"
113,"['P000001436', 'P000004379', 'P000016749', 'P000033529']",120.3394111,36.29063727,"['7416', '157', '863', '7414', '7412', '7415', '7411']"
114,"['P000020427', 'P000015425', 'P000007738', 'P000004516', 'P000023284', 'P000015771', 'P000036628']",117.0490961,36.07971463,"['3464', '3496', '3510', '573', '53', '311', '1464', '3759', '762', '1065', '8582', '3495', '5993', '3497', '3802', '5988', '3688', '6074']"
115,"['P000019462', 'P000029839', 'P000029837', 'P000029886', 'P000029887', 'P000030237', 'P000035697', 'P000036925']",118.9098272,35.71971107,"['4089', '1872', '13302', '13610', '13353', '1066', '13289']"
116,"['P000022300', 'P000021031', 'P000030603', 'P000033972']",118.915188,35.72374237,"['2016', '12831', '4450', '1898', '12777']"
117,"['P000018494', 'P000012504', 'P000023204', 'P000017766', 'P000012776', 'P000020769', 'P000012572', 'P000015379', 'P000019955', 'P000037082', 'P000016412', 'P000016486', 'P000016428', 'P000013945', 'P000035557']",119.4589528,35.33199641,"['4128', '204', '1073', '4564', '1184', '232', '3073', '4206', '1396', '428', '1505', '203', '216', '4207', '357']"
118,['P000044399'],118.8535063,36.84076833,"['1581', '1582']"
119,['P000044966'],122.3711843,36.93534371,"['360', '359']"
120,"['P000024402', 'P000015639', 'P000021123', 'P000045492']",117.1304932,36.08764571,"['1111', '1731']"
121,"['P000045821', 'P000007039']",119.4331125,35.9912824,"['11247', '1449', '11124', '1428']"
122,"['P000003380', 'P000044307', 'P000016543', 'P000016225', 'P000000660', 'P000003363', 'P000046003', 'P000006327', 'P000027436', 'P000014494', 'P000030112']",118.9894496,36.71464376,"['566', '9025', '8174', '13505', '9023', '1227', '10416', '1121', '1033', '14091']"
123,"['P000019261', 'P000003334', 'PS10001436']",119.0633668,36.76766784,"['266', '267']"
124,"['P000019199', 'P000020859', 'P000020442', 'P000017985', 'P000019151']",118.6076371,34.90833913,"['1155', '272', '552']"
125,"['P000018056', 'P000019774', 'P000016617', 'P000022050', 'P000020573']",121.2970211,37.55147929,"['114', '354']"
126,['P000020855'],116.1072899,35.70386635,"['910', '740']"
127,['P000022608'],119.9240105,36.22097749,"['378', '1083']"
128,"['P000013527', 'P000022698', 'P000017180', 'P000020687', 'P000018346', 'P000018839', 'P000022619', 'P000022640', 'P000028771', 'P000015093']",119.516881,35.33194361,"['227', '1807', '8635', '90']"
129,['P000013455'],118.8087309,35.56823339,"['696', '665', '801', '3821']"
130,"['P000045291', 'P000023385']",116.6749017,35.40803978,"['8178', '8197', '655', '1060']"
131,"['P000020293', 'P000018636', 'P000011198', 'P000026769']",119.1179889,35.19324139,"['452', '986', '684', '4768', '3565', '10789', '4770', '147']"
132,['P000024713'],117.7251315,36.93142012,['1362']
133,"['P000007858', 'P000019956', 'P000015649', 'P000008566']",119.3741417,36.03503737,"['1203', '9947', '1204', '9951', '9948', '8492']"
134,['P000016503'],119.9826604,36.32334006,"['1345', '1350']"
135,['P000017247'],122.1632799,37.01037575,"['1386', '1385']"
136,"['P000012744', 'P000006491']",116.620779,35.4066064,"['1431', '8607', '698']"
137,"['P000014474', 'P000013813', 'P000017907']",119.7221087,35.70713907,"['1685', '606', '605']"
138,"['P000018953', 'P000024134', 'P000003226', 'P000022793', 'P000018251', 'P000019352', 'P000022646', 'P000014291', 'P000005906', 'P000025444', 'P000026620', 'P000004279', 'P000014509', 'P000003412', 'P000022311', 'P000026781', 'P000016251', 'P000028197', 'P000015012', 'P000030141']",119.4008396,35.16340493,"['184', '1516', '182', '715', '9196', '714', '528']"
139,"['P000018456', 'P000014488', 'P000023384', 'P000023412', 'P000015651', 'P000022327', 'P000018443', 'P000025263']",118.436646,35.10566721,"['709', '289', '8940', '10270', '388', '29', '8937', '6107']"
140,"['P000017760', 'P000026750']",119.7831505,35.6077938,"['304', '305']"
141,"['P000017891', 'P000024745']",118.7328298,34.92162226,"['48', '766']"
142,"['P000017801', 'P000018586', 'P000005184', 'P000029386', 'P000025887', 'P000036070']",118.4403051,35.1582861,"['643', '769']"
143,"['P000015348', 'P000023930', 'P000027181', 'P000006260', 'P000015068', 'P000037964', 'P000014438', 'P000019010', 'P000022755', 'P000001426']",120.2887858,36.33238209,"['14216', '9915', '1751', '1813', '780']"
144,['P000015002'],119.9580288,36.35037957,"['850', '848', '849']"
145,"['P000025756', 'P000026654']",116.2013471,36.84693123,"['10507', '10508', '1219', '1218']"
