Unnamed: 0,ep_cluster_ID,list_endpoint,longitude,latitude,list_sp_cluster_ID,dis
36,36,"['P000026428', 'P000014475', 'PS10001629', 'P000005367', 'P000001432', 'P000003383', 'P000047051', 'P000002768', 'P000021159', 'P000002491', 'P000027509', 'P000025824', 'P000000807', 'P000029855', 'P000005746', 'P000037993', 'P000014453', 'P000016081']",119.9647037347298,36.3328216567914,"['796', '11708', '881', '1622', '11706', '500', '11705', '2050', '745', '1884', '8527']",231.55284590007497
37,37,['P000026435'],120.35517950000003,36.27837136875,['236'],220.75400805555907
38,38,['P000026476'],118.48619994321002,35.23759857407404,['898'],220.3722227275861
39,39,['P000026578'],120.86803412758636,37.39654465603444,['1191'],0.0
40,40,['P000026594'],119.32952757446824,36.45596565815601,['1461'],0.0
41,41,"['P000026613', 'P000029450']",119.5090191480768,35.53358693653849,['254'],73.38080610607774
42,42,"['P000026614', 'P000028150']",118.42549812756153,35.02978064707992,['1497'],168.08253584294
44,43,['P000026638'],116.39336650845068,37.48540555774652,['2033'],0.0
45,44,['P000026644'],119.46708090357158,35.350284026190444,['988'],72.19001325362552
46,45,['P000026678'],119.34954177999995,35.18816180666666,['1841'],0.0
47,46,['P000026679'],119.93310093065313,35.90493757185931,['1486'],0.0
48,47,['P000026805'],119.79482450162598,35.70840468455288,['58'],0.0
49,48,['P000026813'],119.73869688928566,36.417462203571446,['1521'],0.0
50,49,['P000026831'],119.67799847042244,37.0530174422536,['1854'],0.0
51,50,"['P000026874', 'P000029439']",120.26570988532843,36.35871795559848,['1536'],209.78088140964846
52,51,['P000026900'],118.47198390666662,35.59645960333332,['1644'],0.0
53,52,['P000026928'],118.46993684000002,34.95042029777775,['229'],0.0
54,53,['P000026929'],119.50239054850736,35.50335355298499,['383'],0.0
55,54,"['P000026939', 'P000028714']",119.31701834729706,35.15064888243235,['7'],135.83747008127875
56,55,"['P000027026', 'P000027853', 'P000028971']",120.35176287581224,36.29012019698418,"['349', '158']",206.94211989125122
57,56,['P000027050'],119.9880677890173,36.2164344924856,['1572'],0.0
58,57,['P000027092'],118.53705000000006,35.4353110923077,['1578'],0.0
60,58,['P000027117'],118.81038799042548,35.15904587925532,['1005'],0.0
61,59,"['P000027169', 'P000028288', 'P000029122', 'P000045512', 'P000025733', 'P000030033', 'P000022718', 'P000023315', 'P000007125', 'P000009149']",119.3090581546006,35.1774980883219,"['1438', '10505', '1471', '1588', '1439']",281.1969874524338
62,60,['P000027297'],116.75117722000002,35.579623240000004,['1600'],0.0
63,61,"['P000027321', 'P000029734']",121.21844121034478,37.470228320689664,['1604'],0.0
64,62,['P000027437'],118.71722553636369,35.13061830727278,['858'],0.0
65,63,['P000027549'],115.99570370350864,35.57521780350877,['1779'],0.0
66,64,['P000027582'],120.14561209514557,35.99617429805822,['1074'],0.0
67,65,['P000027805'],118.54860495373146,37.04490337611941,['1820'],304.29995341082304
68,66,"['P000027915', 'P000014334', 'P000045423', 'P000014525', 'P000022712', 'P000018422', 'P000020085', 'P000014268', 'P000020393', 'P000045595', 'P000025619', 'P000045534', 'P000029279', 'P000029785', 'P000036326', 'P000037207']",119.5099949910329,35.5512205171748,"['953', '86', '5186', '10840']",102.86303796546505
69,67,"['P000027932', 'P000030525']",119.39391109836065,36.1048776704918,['134'],244.7853070819459
71,68,"['P000028064', 'P000028331']",119.39657206301376,35.42762646986301,['127'],101.70721827870342
72,69,['P000028075'],120.0492222829268,36.0344369097561,['1278'],180.5291975211366
73,70,"['P000028083', 'P000030718']",118.44440210851066,35.388616153191485,['1974'],145.3424616176944
74,71,['P000028091'],119.92841374615384,36.257071139743566,['716'],0.0
75,72,"['P000028097', 'P000030023']",120.32903196810832,36.26870986702698,['233'],201.65813796333958
76,73,['P000028123'],119.29318470707966,35.17968187610618,['259'],0.0
77,74,"['P000028148', 'P000029905']",116.14841282727268,36.35875000454546,['1871'],0.0
78,75,['P000028255'],119.97645173589748,36.027833283974374,['1007'],0.0
79,76,['P000028313'],120.01543923235305,36.20489545,['1692'],0.0
80,77,"['P000028498', 'P000030682', 'P000026853', 'P000002251', 'P000016731', 'P000020883', 'P000047275']",119.952143802216,36.28153864267663,"['5574', '1558', '9838', '1557', '5594', '537', '11910', '13725', '13723', '5292', '13726', '459']",176.5276606177337
81,78,['P000028598'],116.81134208823532,35.320035813725504,['1702'],0.0
82,79,['P000028874'],120.08068223966278,36.09408453459909,['138'],0.0
83,80,['P000028936'],120.20698323571436,36.25824466428572,['1252'],0.0
84,81,['P000028954'],117.06261687517257,36.07985580482757,['572'],408.7483661867049
85,82,"['P000029192', 'P000029812']",119.44942291578946,35.36255685263158,['16'],80.03995598334104
86,83,"['P000029264', 'P000022870', 'P000014437', 'P000022479', 'P000022304', 'P000010080', 'P000026894', 'P000034483', 'P000036660', 'P000020971']",121.29661376576364,37.46324564325897,"['5171', '8784', '5170', '6791', '5169', '6790', '2040', '210']",0.0
87,84,['P000029312'],118.46837971666665,34.95848659791671,['268'],234.13463489090026
88,85,['P000029319'],119.056915690476,35.16495041156465,['1069'],0.0
89,86,['P000029349'],118.4298351016668,35.12694575500008,['503'],199.1330329605802
90,87,['P000029379'],119.99948202647062,35.90297585294118,['261'],0.0
92,88,['P000029470'],118.8372066999996,35.630416699999905,['1399'],0.0
93,89,['P000029616'],119.278127175,35.164589792857136,['770'],41.417618080838096
94,90,['P000029707'],119.70603738251752,37.05002366573427,['1842'],0.0
95,91,"['P000029729', 'P000030537']",118.26174618619318,37.048119196363615,"['1915', '1956']",0.0
96,92,"['P000029737', 'P000030417']",118.24965035714284,37.059239282142855,['436'],0.0
97,93,"['P000029772', 'P000017340', 'P000016603']",120.08381799179487,36.15242838700855,"['1796', '851']",222.0915690371273
98,94,['P000030099'],117.07862759999996,36.07562963199999,['474'],578.7574628853313
99,95,['P000030106'],117.05896426756756,36.071960372973,['365'],0.0
100,96,['P000030167'],119.37682509230768,35.9725151153846,['1720'],0.0
101,97,['P000030169'],118.26491769722227,37.06764929444443,['1017'],0.0
102,98,['P000030239'],120.33891765272703,36.30234439878792,['1684'],0.0
103,99,['P000030272'],120.6663853593306,36.94995235263146,['1921'],0.0
105,100,['P000030305'],118.23713187857147,35.76816798214286,['1506'],0.0
106,101,['P000030376'],118.17405487500004,36.83841856250001,['382'],290.05852421481313
107,102,['P000030466'],117.07036488965514,36.07843719310345,['66'],382.6397015751283
108,103,['P000030562'],120.16545534161877,36.04714798150295,['398'],0.0
109,104,['P000030589'],119.4226385166666,35.38443347222224,['1554'],66.95426061225021
110,105,"['P000019036', 'P000018840', 'P000029066', 'P000037001']",119.66012584706226,35.62776800105391,"['902', '903', '7915', '2057']",198.1089831469368
111,106,"['P000029074', 'P000016986', 'P000019258']",118.4682777691404,35.593121925881256,"['10149', '1040', '1746', '10140', '1745', '1210', '10125']",193.60115423510757
112,107,"['P000010024', 'P000007964', 'P000010588', 'P000029554', 'P000014285', 'P000029960', 'P000024750', 'P000007077']",118.47189134400878,34.974820969582844,"['523', '522']",152.94754552712178
113,108,['P000006468'],119.36716461571432,35.10231067142855,"['1474', '6469', '67', '938', '8', '2754', '6443']",32.849431368927085
115,109,"['P000020706', 'P000015720', 'P000015120', 'P000030179']",117.20750176266462,36.73468342861971,"['1175', '1195']",537.6209282815221
116,110,"['P000019549', 'P000029217', 'P000034050']",120.1462038051207,36.06726122369314,"['55', '3539', '3615', '1763']",208.80877243727903
117,111,"['P000014262', 'P000035670', 'P000036258', 'P000024683']",118.60616675974448,35.23816723446386,"['966', '839']",156.7564034687434
118,112,"['P000019420', 'P000027080', 'P000036290']",120.28303725268384,36.36309211675289,"['8860', '8844', '8802', '8796', '8875', '8876', '8868', '8809', '767', '833', '8867', '8873', '8869', '8823', '8800', '8872', '8815', '8825', '8827', '8870', '8814', '8797']",244.1344513899653
119,113,"['P000001436', 'P000004379', 'P000016749', 'P000033529']",120.33941114063884,36.2906372667288,"['7416', '157', '863', '7414', '7412', '7415', '7411']",215.95024156903986
120,114,"['P000020427', 'P000015425', 'P000007738', 'P000004516', 'P000023284', 'P000015771', 'P000036628']",117.04909609507474,36.07971462675798,"['3464', '3496', '3510', '573', '53', '311', '1464', '3759', '762', '1065', '8582', '3495', '5993', '3497', '3802', '5988', '3688', '6074']",319.2482876027803
121,115,"['P000019462', 'P000029839', 'P000029837', 'P000029886', 'P000029887', 'P000030237', 'P000035697', 'P000036925']",118.9098272137345,35.71971107004108,"['4089', '1872', '13302', '13610', '13353', '1066', '13289']",662.4649653864154
122,116,"['P000022300', 'P000021031', 'P000030603', 'P000033972']",118.91518800458934,35.7237423732622,"['2016', '12831', '4450', '1898', '12777']",221.44729937069803
123,117,"['P000018494', 'P000012504', 'P000023204', 'P000017766', 'P000012776', 'P000020769', 'P000012572', 'P000015379', 'P000019955', 'P000037082', 'P000016412', 'P000016486', 'P000016428', 'P000013945', 'P000035557']",119.4589528059279,35.331996409220935,"['4128', '204', '1073', '4564', '1184', '232', '3073', '4206', '1396', '428', '1505', '203', '216', '4207', '357']",73.16372275822462
124,118,['P000044399'],118.8535062687501,36.8407683260417,"['1581', '1582']",242.45653798687405
125,119,['P000044966'],122.37118430952374,36.93534370952382,"['360', '359']",0.0
126,120,"['P000024402', 'P000015639', 'P000021123', 'P000045492']",117.13049320912256,36.08764570823856,"['1111', '1731']",0.0
127,121,"['P000045821', 'P000007039']",119.43311249255402,35.99128239751799,"['11247', '1449', '11124', '1428']",267.8104359192689
128,122,"['P000003380', 'P000044307', 'P000016543', 'P000016225', 'P000000660', 'P000003363', 'P000046003', 'P000006327', 'P000027436', 'P000014494', 'P000030112']",118.98944956729996,36.714643758137846,"['566', '9025', '8174', '13505', '9023', '1227', '10416', '1121', '1033', '14091']",258.2638583622686
129,123,"['P000019261', 'P000003334', 'PS10001436']",119.06336680631736,36.76766783791363,"['266', '267']",214.01333759267484
130,124,"['P000019199', 'P000020859', 'P000020442', 'P000017985', 'P000019151']",118.60763712065462,34.90833912819905,"['1155', '272', '552']",109.34110151566722
131,125,"['P000018056', 'P000019774', 'P000016617', 'P000022050', 'P000020573']",121.29702113824084,37.551479285303245,"['114', '354']",0.0
132,126,['P000020855'],116.10728992916668,35.703866350000006,"['910', '740']",0.0
133,127,['P000022608'],119.9240105382716,36.22097749135801,"['378', '1083']",359.59893489080935
134,128,"['P000013527', 'P000022698', 'P000017180', 'P000020687', 'P000018346', 'P000018839', 'P000022619', 'P000022640', 'P000028771', 'P000015093']",119.51688102242338,35.33194361009514,"['227', '1807', '8635', '90']",62.766431681550785
135,129,['P000013455'],118.80873092258064,35.56823339032258,"['696', '665', '801', '3821']",255.85191761075401
136,130,"['P000045291', 'P000023385']",116.67490169170031,35.408039784454246,"['8178', '8197', '655', '1060']",388.9448535818166
137,131,"['P000020293', 'P000018636', 'P000011198', 'P000026769']",119.11798893329332,35.193241390652865,"['452', '986', '684', '4768', '3565', '10789', '4770', '147']",203.32021963034597
138,132,['P000024713'],117.72513148514832,36.93142011980196,['1362'],406.3628717811833
139,133,"['P000007858', 'P000019956', 'P000015649', 'P000008566']",119.37414173521044,36.03503736535086,"['1203', '9947', '1204', '9951', '9948', '8492']",130.10021530055778
140,134,['P000016503'],119.98266039107138,36.32334006428571,"['1345', '1350']",268.2819706033594
141,135,['P000017247'],122.16327989871796,37.01037575128208,"['1386', '1385']",0.0
142,136,"['P000012744', 'P000006491']",116.62077902263046,35.40660640131448,"['1431', '8607', '698']",361.67728705115246
143,137,"['P000014474', 'P000013813', 'P000017907']",119.72210865739686,35.707139071611415,"['1685', '606', '605']",135.31822800326475
144,138,"['P000018953', 'P000024134', 'P000003226', 'P000022793', 'P000018251', 'P000019352', 'P000022646', 'P000014291', 'P000005906', 'P000025444', 'P000026620', 'P000004279', 'P000014509', 'P000003412', 'P000022311', 'P000026781', 'P000016251', 'P000028197', 'P000015012', 'P000030141']",119.40083961999744,35.1634049297123,"['184', '1516', '182', '715', '9196', '714', '528']",225.90148254954417
145,139,"['P000018456', 'P000014488', 'P000023384', 'P000023412', 'P000015651', 'P000022327', 'P000018443', 'P000025263']",118.43664604046798,35.105667211885944,"['709', '289', '8940', '10270', '388', '29', '8937', '6107']",188.54223459664613
146,140,"['P000017760', 'P000026750']",119.78315048071109,35.60779380326611,"['304', '305']",0.0
147,141,"['P000017891', 'P000024745']",118.73282975034483,34.92162225629974,"['48', '766']",147.91933900721932
148,142,"['P000017801', 'P000018586', 'P000005184', 'P000029386', 'P000025887', 'P000036070']",118.4403050615313,35.15828610007123,"['643', '769']",144.09704591331194
150,143,"['P000015348', 'P000023930', 'P000027181', 'P000006260', 'P000015068', 'P000037964', 'P000014438', 'P000019010', 'P000022755', 'P000001426']",120.2887858083366,36.33238208690236,"['14216', '9915', '1751', '1813', '780']",214.43707068172
151,144,['P000015002'],119.95802883809516,36.35037956984124,"['850', '848', '849']",183.53066431528782
152,145,"['P000025756', 'P000026654']",116.20134709994868,36.84693123396977,"['10507', '10508', '1219', '1218']",500.8444369578284
