label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
0,144.4206349206349,66.5,252.0,119.15113199644937,35.505281671601786,0.0,0.0
1,36.020833333333336,26.0,624.0,118.72927857259455,35.5372516077782,0.0,0.0
2,58.65071770334928,31.0,836.0,119.40805044126063,35.34710368842346,0.0,0.0
3,82.55454545454545,30.5,110.0,119.49775719907637,35.4429106168538,0.0,0.0
4,48.21649484536083,35.0,194.0,119.54568966057698,35.44907662706174,0.0,0.0
5,57.51490514905149,29.0,369.0,119.07194387411542,36.36601317319213,0.0,0.0
6,61.04825291181364,17.0,601.0,118.6193722922116,35.236275263547824,0.0,0.0
7,151.08391838075298,32.0,24357.0,119.31759123221993,35.15063002327927,0.0,0.0
8,58.84572072072072,33.0,2664.0,119.36300012758736,35.096918823483755,0.0,0.0
9,56.909909909909906,33.0,111.0,119.42717551619779,35.3839107350777,0.0,0.0
10,45.05944272445821,19.0,1615.0,118.42601939834654,35.027839416875175,0.0,0.0
11,46.80107526881721,16.0,186.0,119.22145002471714,35.881899560733586,0.0,0.0
12,110.44957983193277,36.0,238.0,119.21785806901978,35.94310364726284,0.0,0.0
13,158.92307692307693,95.0,13.0,119.20461852007632,36.19979225788098,1.0,0.0
14,49.666666666666664,31.5,6.0,118.27559471974683,37.068508711297625,0.0,0.0
15,54.48768472906404,32.0,203.0,119.34942622287996,35.2126964272222,0.0,0.0
16,57.01541623843782,38.0,1946.0,119.45005324148687,35.36250053878148,0.0,0.0
17,182.55,74.0,180.0,120.05422529214047,36.27863648890022,0.0,0.0
18,64.3141592920354,27.5,226.0,120.12169762370448,36.0933317349951,0.0,0.0
19,183.92307692307693,29.0,13.0,118.48012067847799,35.07209736060542,0.0,0.0
20,71.24592973436161,40.0,1167.0,118.46942735061835,34.99414769996056,0.0,0.0
21,49.79369627507163,24.0,349.0,119.35931987114934,35.19908221216382,0.0,0.0
22,257.4782608695652,69.0,92.0,119.35842297422737,35.2375556390095,0.0,0.0
23,176.31578947368422,220.0,19.0,119.22871089932823,35.53465534878139,1.0,0.0
24,87.75,31.0,16.0,119.34218843022549,36.016971269739685,0.0,0.0
25,92.2635814889336,45.0,497.0,119.35038750081888,36.025543428576526,0.0,0.0
26,17.77777777777778,17.0,9.0,119.36105177766967,35.99457422266825,0.0,0.0
27,54.273972602739725,40.0,73.0,119.35074388639596,35.19448018812985,0.0,0.0
28,57.275862068965516,43.0,29.0,119.4798478827147,35.478182920332046,0.0,0.0
29,91.34234234234235,49.5,222.0,118.43669608835522,35.10534071059963,0.0,0.0
30,69.7636815920398,49.0,804.0,119.1758892159661,35.113821587367184,1.0,0.0
31,150.50714285714287,27.0,420.0,119.32110416696463,35.17153013514752,0.0,0.0
32,238.5,239.0,8.0,118.82376708941122,35.21493382314638,1.0,0.0
33,169.30232558139534,81.0,43.0,117.0516805781058,36.07928115425186,1.0,0.0
34,43.21568627450981,40.5,204.0,119.73456591315528,35.63260637569779,0.0,0.0
35,244.89004689942678,43.0,1919.0,119.35773327945235,35.23178181796123,0.0,0.0
36,180.30769230769232,142.0,13.0,119.40993244029383,35.344048109290945,1.0,0.0
37,107.3614973262032,32.0,935.0,119.31827540134265,35.15671719450517,0.0,0.0
38,479.2142857142857,353.5,28.0,118.48062998212758,35.07387357504255,1.0,0.0
39,49.370370370370374,25.0,27.0,117.8536912386229,35.80779658451321,0.0,0.0
40,485.6,444.5,30.0,119.34613986662006,35.243936951468775,1.0,0.0
41,35.8,37.0,35.0,120.11910879231793,35.930416873663646,0.0,0.0
42,31.11406844106464,24.0,263.0,119.38211341498412,35.215276961880036,0.0,0.0
43,193.369918699187,76.5,246.0,120.01038074425236,35.901353151721004,0.0,0.0
44,456.72727272727275,533.0,11.0,118.45973139938768,34.99864128597812,1.0,0.0
45,71.50273224043715,43.0,183.0,118.44795825196128,34.99730696196444,0.0,0.0
46,79.20880913539968,46.0,613.0,118.4452836280893,35.16589442877654,0.0,0.0
47,206.44444444444446,232.0,9.0,118.98913745697365,35.21645891705327,1.0,0.0
